Year,Mean_Surplus,P5_Surplus,P95_Surplus,Mean_Funding_Ratio,Insolvency_Prob
0,-752.6443787617732,-990.6395182572419,-560.45127839016,0.214434555207929,1.0
1,-717.0846274361481,-956.6103865341737,-515.9657357387346,0.23618242570853704,1.0
2,-681.7994629476729,-922.0434990239326,-471.75515457092513,0.2585189955546768,1.0
3,-644.828653480441,-881.5126651529639,-426.6161720908118,0.2834145882013914,1.0
4,-607.2033304096914,-847.7785915907484,-369.59767664931366,0.3099511474295031,1.0
5,-567.1947354534153,-810.3295101229869,-315.4138806379791,0.34009994009019584,0.9988
6,-524.9202419604296,-772.3405078333014,-250.7701304797283,0.37397267353628433,0.9952
7,-480.99224861549027,-734.2799757426263,-179.6974291427527,0.4112904077124616,0.9884
8,-435.9073445127366,-696.125411655756,-106.2336935912637,0.45158264526318526,0.9734
9,-387.678772476065,-660.8331854535329,-14.467120052930445,0.4981485344848248,0.9526
10,-337.90537177506184,-625.7925066475717,82.64274078099119,0.5490942237527301,0.924
11,-284.6715069732461,-591.6206999968679,179.6562785457294,0.6075431526655938,0.8886
12,-229.59579088275592,-553.6260839200024,286.8012558216815,0.6726699149392235,0.8452
13,-168.9728108622308,-512.6476063800028,394.8102735677718,0.7506330134158027,0.7912
14,-105.47134035553992,-478.5200306915104,539.8456722710484,0.8390787263694881,0.7274
15,-38.02892045924266,-442.8020236970725,673.2500111728102,0.9419953699811423,0.6538
16,33.78225460117372,-402.3350202351876,813.0070125231582,1.0619368080786153,0.5864
17,108.8467874333208,-366.1069573661775,981.3474963809088,1.2000113024845893,0.5122
18,187.2850672093292,-329.84141840674954,1139.252726029943,1.3612215309553088,0.439
19,268.7081532702907,-288.3218184637607,1287.3968091548347,1.549878992024222,0.3776
20,352.08039945341375,-244.71460196371225,1469.9679689154925,1.7704017890107715,0.306
21,447.3378227659192,-202.30548386227545,1691.611522129763,2.056918046840278,0.247
22,543.4033324613711,-160.50876621737297,1863.0461345698643,2.4005109023526674,0.1898
23,646.4577482141273,-119.73432869566524,2116.8787135054827,2.8411759373529044,0.142
24,754.7863192586437,-70.73782960111038,2388.1202695084658,3.411411504632418,0.1006
25,870.551528639552,-22.534392264258052,2692.6844704901755,4.184759926230304,0.0642
26,997.6883828238406,23.081912341203164,2939.2861049153753,5.2987494208487,0.0392
27,1130.906520923225,70.33529773464939,3300.7086051664055,6.979290027332313,0.0202
28,1262.1107514098946,129.68199454352597,3673.021031802014,9.732887040582646,0.0084
29,1406.9307733308092,176.33380954423308,3930.2849849073846,15.33249459877796,0.002
30,1565.953772995283,239.2023820397163,4358.123794301012,32.31907545990566,0.0002
